user_id,register_days,product_count,report_count,avg_reply_time,credit_score,is_violation
1,162,1,0,4.6,103,0
2,5,23,5,3.4,79,1
3,87,5,0,8.0,98,0
4,378,1,0,5.8,97,0
5,372,1,2,18.8,94,0
6,144,1,0,11.2,99,0
7,103,1,0,11.8,102,0
8,350,1,0,0.1,89,0
9,194,30,2,0.3,74,0
10,181,0,0,0.1,90,0
11,81,0,0,2.2,98,0
12,238,3,0,0.1,96,0
13,349,8,0,1.7,93,0
14,247,26,0,14.8,103,0
15,100,0,1,5.7,90,0
16,184,16,0,6.6,107,0
17,154,3,0,0.1,101,0
18,306,13,0,1.3,80,0
19,125,2,0,0.1,42,1
20,1,50,1,0.1,94,1
21,1,3,0,2.9,107,0
22,278,2,0,0.1,83,0
23,150,0,0,0.1,75,0
24,236,6,0,0.2,44,1
25,347,2,1,13.4,104,0
26,181,6,0,4.3,77,0
27,102,0,0,6.4,105,0
28,222,3,0,7.8,91,0
29,258,3,0,0.1,87,0
30,50,1,0,5.6,100,0
31,1,0,0,10.9,83,0
32,146,1,0,4.1,105,0
33,68,3,0,27.7,111,0
34,329,8,0,4.9,101,0
35,90,1,0,0.1,96,0
36,148,0,0,0.1,100,0
37,400,0,7,18.5,98,1
38,230,9,2,7.5,102,0
39,226,3,1,0.1,102,0
40,1,31,0,5.4,87,1
41,4,40,1,0.1,89,1
42,77,0,0,0.1,94,0
43,166,1,1,7.7,80,0
44,257,3,0,0.6,91,0
45,453,5,0,6.2,108,0
46,255,1,0,3.9,103,0
47,97,2,0,9.9,88,0
48,112,0,0,0.1,87,0
49,102,9,0,8.0,80,0
50,163,6,0,6.8,61,0
51,184,0,0,15.1,91,0
52,47,4,3,7.0,88,0
53,135,9,0,0.1,82,0
54,150,5,2,10.9,83,0
55,174,1,0,0.1,89,0
56,111,1,0,1.8,93,0
57,115,2,0,0.1,75,0
58,305,4,0,5.4,95,0
59,185,2,0,0.1,96,0
60,263,0,0,2.0,98,0
61,296,35,0,14.0,99,0
62,123,1,0,10.7,89,0
63,1,5,1,13.2,97,0
64,9,11,0,8.4,99,0
65,102,5,0,3.8,108,0
66,326,0,6,0.1,84,0
67,254,7,0,4.1,87,0
68,1,3,10,0.1,99,0
69,53,0,0,19.1,92,0
70,56,13,2,0.1,99,0
71,140,1,0,11.4,90,0
72,85,1,0,5.7,103,0
73,291,0,0,0.1,95,0
74,316,2,6,8.2,110,0
75,61,2,0,1.6,94,0
76,270,0,0,6.4,88,0
77,1,2,0,7.3,95,0
78,1,44,0,4.7,90,1
79,1,2,0,6.9,105,0
80,130,2,0,10.3,96,0
81,52,5,0,30.1,84,0
82,161,7,0,0.1,85,0
83,257,4,0,4.2,105,0
84,182,1,0,3.4,84,0
85,367,4,0,0.1,81,0
86,1,0,0,5.9,82,0
87,310,11,0,14.6,105,0
88,211,1,1,17.9,94,0
89,375,4,0,9.4,87,0
90,75,1,0,10.5,88,0
91,111,3,0,24.7,104,0
92,157,17,0,1.6,98,0
93,186,0,2,0.1,92,0
94,182,6,0,14.2,95,0
95,211,4,2,2.7,92,0
96,405,1,0,14.4,89,0
97,243,2,0,1.1,93,0
98,278,27,0,0.1,92,0
99,52,0,0,3.6,95,0
100,144,4,0,0.1,79,0
101,147,3,2,6.1,96,0
102,168,8,0,7.2,87,0
103,140,4,2,8.0,98,0
104,190,10,0,2.7,96,0
105,270,9,2,0.1,91,0
106,227,3,0,20.2,104,0
107,195,2,0,23.6,62,0
108,1,0,0,0.1,87,0
109,179,1,0,21.5,67,0
110,9,15,0,0.1,88,0
111,336,9,0,9.3,86,0
112,316,4,0,11.9,83,0
113,117,3,0,0.5,94,0
114,105,3,0,18.9,85,0
115,242,5,0,0.1,111,0
116,421,5,2,12.8,100,0
117,262,1,0,11.4,89,0
118,59,11,0,0.1,83,0
119,127,0,9,0.1,96,0
120,328,1,0,0.1,91,0
121,311,3,0,0.1,97,0
122,307,1,0,15.4,86,0
123,128,6,0,26.7,98,0
124,173,17,0,10.9,83,0
125,213,6,0,0.6,107,0
126,168,0,0,0.1,108,0
127,273,2,0,6.6,86,0
128,302,1,0,15.9,87,0
129,161,7,0,4.4,74,0
130,269,0,0,0.1,86,0
131,97,2,0,2.2,104,0
132,74,2,0,9.8,86,0
133,140,12,0,12.4,104,0
134,245,1,0,15.9,91,0
135,1,2,0,14.6,93,0
136,231,0,2,10.3,87,0
137,1,14,0,0.1,117,0
138,225,1,0,3.4,63,0
139,286,0,0,0.1,97,0
140,302,1,0,2.9,93,0
141,271,1,0,15.3,92,0
142,379,2,0,0.1,56,1
143,51,29,0,12.6,103,0
144,276,0,0,0.1,89,0
145,22,2,0,13.9,83,0
146,276,2,0,14.4,91,0
147,96,2,0,12.5,94,0
148,95,0,0,10.8,111,0
149,346,0,0,3.0,95,0
150,132,3,0,0.1,87,0
151,1,14,0,0.1,82,0
152,22,1,0,13.5,97,0
153,1,3,0,0.1,94,0
154,145,3,0,0.1,94,0
155,265,0,0,0.1,107,0
156,171,1,0,7.8,80,0
157,106,3,0,0.7,108,0
158,143,0,2,18.1,91,0
